loss: 0.13987109065055847, ssim: 0.9862963557243347, psnr: 56.6922721862793
loss: 0.14144793152809143, ssim: 0.9861852526664734, psnr: 56.640419006347656
loss: 0.14015807211399078, ssim: 0.9860507845878601, psnr: 56.68447494506836
loss: 0.13521693646907806, ssim: 0.9869745373725891, psnr: 56.82737350463867
loss: 0.13621442019939423, ssim: 0.9868752360343933, psnr: 56.80950927734375
loss: 0.13976378738880157, ssim: 0.9866588711738586, psnr: 56.68752670288086
loss: 0.14018234610557556, ssim: 0.9862972497940063, psnr: 56.67859649658203
loss: 0.13440394401550293, ssim: 0.9869171380996704, psnr: 56.87435531616211
loss: 0.1342044323682785, ssim: 0.987043559551239, psnr: 56.85987091064453
loss: 0.13896742463111877, ssim: 0.9865116477012634, psnr: 56.7094841003418
loss: 0.14394651353359222, ssim: 0.9860965013504028, psnr: 56.56650924682617
loss: 0.13875910639762878, ssim: 0.9865674376487732, psnr: 56.725341796875
loss: 0.14070963859558105, ssim: 0.9860959053039551, psnr: 56.66273880004883
loss: 0.13977131247520447, ssim: 0.9863947033882141, psnr: 56.683021545410156
loss: 0.1442698985338211, ssim: 0.9860278964042664, psnr: 56.545684814453125
loss: 0.1399059146642685, ssim: 0.9864821434020996, psnr: 56.68592071533203
loss: 0.13910852372646332, ssim: 0.9867051243782043, psnr: 56.70664596557617
loss: 0.13617084920406342, ssim: 0.9868376851081848, psnr: 56.79548263549805
loss: 0.13768795132637024, ssim: 0.9869139790534973, psnr: 56.76324462890625
loss: 0.14292137324810028, ssim: 0.9859755635261536, psnr: 56.594356536865234
loss: 0.1517336368560791, ssim: 0.9851564764976501, psnr: 56.329139709472656
loss: 0.13999906182289124, ssim: 0.9860333800315857, psnr: 56.683509826660156
loss: 0.13575202226638794, ssim: 0.9871405959129333, psnr: 56.80930709838867
loss: 0.1388860046863556, ssim: 0.9866182208061218, psnr: 56.71706008911133
loss: 0.1449017971754074, ssim: 0.9859113693237305, psnr: 56.541015625
loss: 0.13997602462768555, ssim: 0.9864540100097656, psnr: 56.67989730834961
loss: 0.14476244151592255, ssim: 0.9858995676040649, psnr: 56.5334587097168
loss: 0.13840149343013763, ssim: 0.9865337610244751, psnr: 56.72555160522461
loss: 0.14052733778953552, ssim: 0.986248791217804, psnr: 56.666107177734375
loss: 0.1416057050228119, ssim: 0.9861178398132324, psnr: 56.6329345703125
loss: 0.1421934813261032, ssim: 0.9863938689231873, psnr: 56.62832260131836
loss: 0.14112834632396698, ssim: 0.9863761067390442, psnr: 56.64436721801758
loss: 0.13929849863052368, ssim: 0.9863249063491821, psnr: 56.69677734375
loss: 0.1414766162633896, ssim: 0.9861348271369934, psnr: 56.63568115234375
loss: 0.13665886223316193, ssim: 0.9865962862968445, psnr: 56.7841911315918
loss: 0.13753549754619598, ssim: 0.9866723418235779, psnr: 56.75716018676758
loss: 0.13791392743587494, ssim: 0.9866331219673157, psnr: 56.7639045715332
loss: 0.13773588836193085, ssim: 0.9865914583206177, psnr: 56.7586784362793
loss: 0.14392052590847015, ssim: 0.9859820604324341, psnr: 56.56342697143555
loss: 0.13838593661785126, ssim: 0.9865564703941345, psnr: 56.732696533203125
loss: 0.1432003527879715, ssim: 0.9861487746238708, psnr: 56.58028793334961
loss: 0.1348831057548523, ssim: 0.9870362281799316, psnr: 56.860565185546875
loss: 0.138762429356575, ssim: 0.9866021275520325, psnr: 56.72462844848633
loss: 0.1377895474433899, ssim: 0.9867496490478516, psnr: 56.74836349487305
loss: 0.13982999324798584, ssim: 0.9862161874771118, psnr: 56.70632553100586
loss: 0.14203454554080963, ssim: 0.985988438129425, psnr: 56.641395568847656
loss: 0.14406241476535797, ssim: 0.9859636425971985, psnr: 56.57143020629883
loss: 0.1415429264307022, ssim: 0.9861235618591309, psnr: 56.64106369018555
loss: 0.1365223228931427, ssim: 0.9865873456001282, psnr: 56.796630859375
loss: 0.1457005739212036, ssim: 0.9857970476150513, psnr: 56.49946975708008
loss: 0.13678686320781708, ssim: 0.9867343306541443, psnr: 56.78890609741211
loss: 0.1390099972486496, ssim: 0.9866177439689636, psnr: 56.71192169189453
loss: 0.13663244247436523, ssim: 0.9865393042564392, psnr: 56.79417037963867
loss: 0.13846658170223236, ssim: 0.986585795879364, psnr: 56.731929779052734
loss: 0.13513877987861633, ssim: 0.9868030548095703, psnr: 56.837886810302734
loss: 0.1423504501581192, ssim: 0.9864959120750427, psnr: 56.60500717163086
